column,role,in_config_a,in_config_b,notes
albedo_mean,config_a_feature,True,True,
building_area_ratio,config_a_feature,True,True,
building_area_ratio_spatial_lag,config_a_feature,True,True,
building_density_km2,config_a_feature,True,True,
chirps_precip_mm,config_a_feature,True,True,
cos_season,config_a_feature,True,True,
dist_to_any_water_m,config_a_feature,True,True,
dist_to_city_centre_m,config_a_feature,True,True,
dist_to_perm_water_m,config_a_feature,True,True,
impervious_pct,config_a_feature,True,True,
impervious_pct_lag1,config_a_feature,True,True,
impervious_pct_lag4,config_a_feature,True,True,
impervious_pct_spatial_lag,config_a_feature,True,True,
lc_cropland_pct,config_a_feature,True,True,
lc_trees_pct,config_a_feature,True,True,
lc_water_pct,config_a_feature,True,True,
mean_building_size_m2,config_a_feature,True,True,
mndwi_mean,config_a_feature,True,True,
ndbi_mean,config_a_feature,True,True,
ndvi_mean,config_a_feature,True,True,
ndvi_mean_lag1,config_a_feature,True,True,
ndvi_mean_lag4,config_a_feature,True,True,
ntl_avg_radiance_mean,config_a_feature,True,True,
relative_humidity_pct,config_a_feature,True,True,
sar_vv_mean,config_a_feature,True,True,
slope_deg_mean,config_a_feature,True,True,
tpi_mean,config_a_feature,True,True,
water_occurrence_pct,config_a_feature,True,True,
wind_speed_ms,config_a_feature,True,True,
lst_c_mean_lag1,config_b_only_target_lag,False,True,Predictive/nowcasting only; do not use for causal interpretation.
lst_c_mean_lag4,config_b_only_target_lag,False,True,Predictive/nowcasting only; do not use for causal interpretation.
emissivity_mean,config_b_only_thermal,False,True,Same-season thermal/emissivity predictor; predictive/nowcasting only.
modis_lst_day_mean,config_b_only_thermal,False,True,Same-season thermal/emissivity predictor; predictive/nowcasting only.
modis_lst_diurnal_range,config_b_only_thermal,False,True,Same-season thermal/emissivity predictor; predictive/nowcasting only.
modis_lst_night_mean,config_b_only_thermal,False,True,Same-season thermal/emissivity predictor; predictive/nowcasting only.
bsi_mean,dropped_spearman,False,False,Removed by Spearman correlation pruning.
elevation_m_mean,dropped_spearman,False,False,Removed by Spearman correlation pruning.
elevation_m_mean_spatial_lag,dropped_spearman,False,False,Removed by Spearman correlation pruning.
evi_mean,dropped_spearman,False,False,Removed by Spearman correlation pruning.
fvc_mean,dropped_spearman,False,False,Removed by Spearman correlation pruning.
ndmi_mean,dropped_spearman,False,False,Removed by Spearman correlation pruning.
ndvi_max,dropped_spearman,False,False,Removed by Spearman correlation pruning.
ndvi_mean_spatial_lag,dropped_spearman,False,False,Removed by Spearman correlation pruning.
population_density,dropped_spearman,False,False,Removed by Spearman correlation pruning.
sar_vh_mean,dropped_spearman,False,False,Removed by Spearman correlation pruning.
savi_mean,dropped_spearman,False,False,Removed by Spearman correlation pruning.
sin_season,dropped_spearman,False,False,Removed by Spearman correlation pruning.
solar_radiation,dropped_spearman,False,False,Removed by Spearman correlation pruning.
aq_source,dropped_unusable,False,False,All-null or constant.
aerosol_index_mean,hard_drop,False,False,Dropped before feature selection.
aspect_deg_mean,hard_drop,False,False,Dropped before feature selection.
building_area_m2,hard_drop,False,False,Dropped before feature selection.
building_count,hard_drop,False,False,Dropped before feature selection.
builtup_surface_m2,hard_drop,False,False,Dropped before feature selection.
cell_area_m2,hard_drop,False,False,Dropped before feature selection.
chirps_precip_mm_mean,hard_drop,False,False,Dropped before feature selection.
chirps_rainy_days,hard_drop,False,False,Dropped before feature selection.
co_column_mean,hard_drop,False,False,Dropped before feature selection.
dewpoint_temp_K_mean,hard_drop,False,False,Dropped before feature selection.
dw_built_pct,hard_drop,False,False,Dropped before feature selection.
dw_dominant_class,hard_drop,False,False,Dropped before feature selection.
dw_veg_pct,hard_drop,False,False,Dropped before feature selection.
dw_water_pct,hard_drop,False,False,Dropped before feature selection.
elevation_m_max,hard_drop,False,False,Dropped before feature selection.
hillshade_mean,hard_drop,False,False,Dropped before feature selection.
ibi_mean,hard_drop,False,False,Dropped before feature selection.
impervious_frac_ghsl,hard_drop,False,False,Dropped before feature selection.
landsat_scene_count,hard_drop,False,False,Dropped before feature selection.
