split,column,dtype,missing_count,missing_pct,non_missing_count,row_count
train,grid_id,int64,0,0.0,730035,730035
train,grid_x,int64,0,0.0,730035,730035
train,grid_y,int64,0,0.0,730035,730035
train,year,int64,0,0.0,730035,730035
train,season,str,0,0.0,730035,730035
train,district,str,0,0.0,730035,730035
train,division,str,0,0.0,730035,730035
train,aq_source,str,648154,88.78396241276103,81881,730035
train,lst_c_mean,float64,0,0.0,730035,730035
train,lst_c_max,float64,18,0.0024656352092707885,730017,730035
train,suhi_mean,float64,0,0.0,730035,730035
train,suhi_max,float64,0,0.0,730035,730035
train,reference_lst_mean,float64,0,0.0,730035,730035
train,ndvi_mean,float64,21104,2.890820303136151,708931,730035
train,ndvi_max,float64,6394,0.8758484182265234,723641,730035
train,ndbi_mean,float64,0,0.0,730035,730035
train,mndwi_mean,float64,0,0.0,730035,730035
train,ndmi_mean,float64,0,0.0,730035,730035
train,evi_mean,float64,0,0.0,730035,730035
train,savi_mean,float64,0,0.0,730035,730035
train,bsi_mean,float64,0,0.0,730035,730035
train,albedo_mean,float64,0,0.0,730035,730035
train,fvc_mean,float64,0,0.0,730035,730035
train,impervious_pct,float64,0,0.0,730035,730035
train,modis_lst_day_mean,float64,953,0.1305416863575034,729082,730035
train,modis_lst_night_mean,float64,16013,2.193456478114063,714022,730035
train,modis_lst_diurnal_range,float64,12140,1.6629339689192983,717895,730035
train,emissivity_mean,float64,0,0.0,730035,730035
train,lc_trees_pct,float64,0,0.0,730035,730035
train,lc_cropland_pct,float64,0,0.0,730035,730035
train,lc_water_pct,float64,0,0.0,730035,730035
train,building_area_ratio,float64,0,0.0,730035,730035
train,building_density_km2,float64,0,0.0,730035,730035
train,mean_building_size_m2,float64,0,0.0,730035,730035
train,water_occurrence_pct,float64,0,0.0,730035,730035
train,dist_to_perm_water_m,float64,0,0.0,730035,730035
train,dist_to_any_water_m,float64,0,0.0,730035,730035
train,elevation_m_mean,float64,0,0.0,730035,730035
train,slope_deg_mean,float64,0,0.0,730035,730035
train,tpi_mean,float64,0,0.0,730035,730035
train,population_density,float64,0,0.0,730035,730035
train,ntl_avg_radiance_mean,float64,0,0.0,730035,730035
train,wind_speed_ms,float64,0,0.0,730035,730035
train,relative_humidity_pct,float64,0,0.0,730035,730035
train,solar_radiation,float64,0,0.0,730035,730035
train,chirps_precip_mm,float64,0,0.0,730035,730035
train,sar_vv_mean,float64,0,0.0,730035,730035
train,sar_vh_mean,float64,0,0.0,730035,730035
train,dist_to_city_centre_m,float64,0,0.0,730035,730035
train,is_water,int64,0,0.0,730035,730035
train,sin_season,float64,0,0.0,730035,730035
train,cos_season,float64,0,0.0,730035,730035
train,lst_c_mean_lag1,float64,28015,3.8374872437622853,702020,730035
train,lst_c_mean_lag4,float64,86532,11.85313032936777,643503,730035
train,ndvi_mean_lag1,float64,48102,6.588999157574637,681933,730035
train,ndvi_mean_lag4,float64,105425,14.44108844096516,624610,730035
train,impervious_pct_lag1,float64,28015,3.8374872437622853,702020,730035
train,impervious_pct_lag4,float64,86532,11.85313032936777,643503,730035
train,ndvi_mean_spatial_lag,float64,2385,0.3266966652283795,727650,730035
train,impervious_pct_spatial_lag,float64,8,0.001095837870787017,730027,730035
train,building_area_ratio_spatial_lag,float64,8,0.001095837870787017,730027,730035
train,elevation_m_mean_spatial_lag,float64,8,0.001095837870787017,730027,730035
train,split,str,0,0.0,730035,730035
val,grid_id,int64,0,0.0,78270,78270
val,grid_x,int64,0,0.0,78270,78270
val,grid_y,int64,0,0.0,78270,78270
val,year,int64,0,0.0,78270,78270
val,season,str,0,0.0,78270,78270
val,district,str,0,0.0,78270,78270
val,division,str,0,0.0,78270,78270
val,aq_source,str,78270,100.0,0,78270
val,lst_c_mean,float64,0,0.0,78270,78270
val,lst_c_max,float64,0,0.0,78270,78270
val,suhi_mean,float64,0,0.0,78270,78270
val,suhi_max,float64,0,0.0,78270,78270
val,reference_lst_mean,float64,0,0.0,78270,78270
val,ndvi_mean,float64,2429,3.1033601635364763,75841,78270
val,ndvi_max,float64,768,0.9812188577999233,77502,78270
val,ndbi_mean,float64,0,0.0,78270,78270
val,mndwi_mean,float64,0,0.0,78270,78270
val,ndmi_mean,float64,0,0.0,78270,78270
val,evi_mean,float64,0,0.0,78270,78270
val,savi_mean,float64,0,0.0,78270,78270
val,bsi_mean,float64,0,0.0,78270,78270
val,albedo_mean,float64,0,0.0,78270,78270
val,fvc_mean,float64,0,0.0,78270,78270
val,impervious_pct,float64,0,0.0,78270,78270
val,modis_lst_day_mean,float64,0,0.0,78270,78270
val,modis_lst_night_mean,float64,1696,2.1668583109748307,76574,78270
val,modis_lst_diurnal_range,float64,1074,1.3721732464545804,77196,78270
val,emissivity_mean,float64,0,0.0,78270,78270
val,lc_trees_pct,float64,0,0.0,78270,78270
val,lc_cropland_pct,float64,0,0.0,78270,78270
val,lc_water_pct,float64,0,0.0,78270,78270
val,building_area_ratio,float64,0,0.0,78270,78270
val,building_density_km2,float64,0,0.0,78270,78270
val,mean_building_size_m2,float64,0,0.0,78270,78270
val,water_occurrence_pct,float64,0,0.0,78270,78270
val,dist_to_perm_water_m,float64,0,0.0,78270,78270
val,dist_to_any_water_m,float64,0,0.0,78270,78270
val,elevation_m_mean,float64,0,0.0,78270,78270
val,slope_deg_mean,float64,0,0.0,78270,78270
val,tpi_mean,float64,0,0.0,78270,78270
val,population_density,float64,0,0.0,78270,78270
val,ntl_avg_radiance_mean,float64,0,0.0,78270,78270
val,wind_speed_ms,float64,0,0.0,78270,78270
val,relative_humidity_pct,float64,0,0.0,78270,78270
val,solar_radiation,float64,0,0.0,78270,78270
val,chirps_precip_mm,float64,0,0.0,78270,78270
val,sar_vv_mean,float64,0,0.0,78270,78270
val,sar_vh_mean,float64,0,0.0,78270,78270
val,dist_to_city_centre_m,float64,0,0.0,78270,78270
val,is_water,int64,0,0.0,78270,78270
val,sin_season,float64,0,0.0,78270,78270
val,cos_season,float64,0,0.0,78270,78270
val,lst_c_mean_lag1,float64,3682,4.70422895106682,74588,78270
val,lst_c_mean_lag4,float64,1944,2.483710233806056,76326,78270
val,ndvi_mean_lag1,float64,5989,7.651718410629871,72281,78270
val,ndvi_mean_lag4,float64,4076,5.207614667177718,74194,78270
val,impervious_pct_lag1,float64,3682,4.70422895106682,74588,78270
val,impervious_pct_lag4,float64,1944,2.483710233806056,76326,78270
val,ndvi_mean_spatial_lag,float64,340,0.4343937651718411,77930,78270
val,impervious_pct_spatial_lag,float64,5,0.006388143605468251,78265,78270
val,building_area_ratio_spatial_lag,float64,5,0.006388143605468251,78265,78270
val,elevation_m_mean_spatial_lag,float64,5,0.006388143605468251,78265,78270
val,split,str,0,0.0,78270,78270
test,grid_id,int64,0,0.0,81826,81826
test,grid_x,int64,0,0.0,81826,81826
test,grid_y,int64,0,0.0,81826,81826
test,year,int64,0,0.0,81826,81826
test,season,str,0,0.0,81826,81826
test,district,str,0,0.0,81826,81826
test,division,str,0,0.0,81826,81826
test,aq_source,str,81826,100.0,0,81826
test,lst_c_mean,float64,0,0.0,81826,81826
test,lst_c_max,float64,0,0.0,81826,81826
test,suhi_mean,float64,0,0.0,81826,81826
test,suhi_max,float64,0,0.0,81826,81826
test,reference_lst_mean,float64,0,0.0,81826,81826
test,ndvi_mean,float64,1870,2.285337178891795,79956,81826
test,ndvi_max,float64,502,0.6134969325153374,81324,81826
test,ndbi_mean,float64,0,0.0,81826,81826
test,mndwi_mean,float64,0,0.0,81826,81826
test,ndmi_mean,float64,0,0.0,81826,81826
test,evi_mean,float64,0,0.0,81826,81826
test,savi_mean,float64,0,0.0,81826,81826
test,bsi_mean,float64,0,0.0,81826,81826
test,albedo_mean,float64,0,0.0,81826,81826
test,fvc_mean,float64,0,0.0,81826,81826
test,impervious_pct,float64,0,0.0,81826,81826
test,modis_lst_day_mean,float64,1,0.0012221054432576444,81825,81826
test,modis_lst_night_mean,float64,3847,4.701439640212158,77979,81826
test,modis_lst_diurnal_range,float64,1431,1.748832889301689,80395,81826
test,emissivity_mean,float64,0,0.0,81826,81826
test,lc_trees_pct,float64,0,0.0,81826,81826
test,lc_cropland_pct,float64,0,0.0,81826,81826
test,lc_water_pct,float64,0,0.0,81826,81826
test,building_area_ratio,float64,0,0.0,81826,81826
test,building_density_km2,float64,0,0.0,81826,81826
test,mean_building_size_m2,float64,0,0.0,81826,81826
test,water_occurrence_pct,float64,0,0.0,81826,81826
test,dist_to_perm_water_m,float64,0,0.0,81826,81826
test,dist_to_any_water_m,float64,0,0.0,81826,81826
test,elevation_m_mean,float64,0,0.0,81826,81826
test,slope_deg_mean,float64,0,0.0,81826,81826
test,tpi_mean,float64,0,0.0,81826,81826
test,population_density,float64,0,0.0,81826,81826
test,ntl_avg_radiance_mean,float64,0,0.0,81826,81826
test,wind_speed_ms,float64,0,0.0,81826,81826
test,relative_humidity_pct,float64,0,0.0,81826,81826
test,solar_radiation,float64,0,0.0,81826,81826
test,chirps_precip_mm,float64,0,0.0,81826,81826
test,sar_vv_mean,float64,0,0.0,81826,81826
test,sar_vh_mean,float64,0,0.0,81826,81826
test,dist_to_city_centre_m,float64,0,0.0,81826,81826
test,is_water,int64,0,0.0,81826,81826
test,sin_season,float64,0,0.0,81826,81826
test,cos_season,float64,0,0.0,81826,81826
test,lst_c_mean_lag1,float64,126,0.15398528585046317,81700,81826
test,lst_c_mean_lag4,float64,3644,4.453352235230856,78182,81826
test,ndvi_mean_lag1,float64,2159,2.638525651993254,79667,81826
test,ndvi_mean_lag4,float64,6073,7.421846356903673,75753,81826
test,impervious_pct_lag1,float64,126,0.15398528585046317,81700,81826
test,impervious_pct_lag4,float64,3644,4.453352235230856,78182,81826
test,ndvi_mean_spatial_lag,float64,141,0.17231686749932784,81685,81826
test,impervious_pct_spatial_lag,float64,0,0.0,81826,81826
test,building_area_ratio_spatial_lag,float64,0,0.0,81826,81826
test,elevation_m_mean_spatial_lag,float64,0,0.0,81826,81826
test,split,str,0,0.0,81826,81826
combined,grid_id,int64,0,0.0,890131,890131
combined,grid_x,int64,0,0.0,890131,890131
combined,grid_y,int64,0,0.0,890131,890131
combined,year,int64,0,0.0,890131,890131
combined,season,str,0,0.0,890131,890131
combined,district,str,0,0.0,890131,890131
combined,division,str,0,0.0,890131,890131
combined,aq_source,str,808250,90.80124161499825,81881,890131
combined,lst_c_mean,float64,0,0.0,890131,890131
combined,lst_c_max,float64,18,0.002022174264237511,890113,890131
combined,suhi_mean,float64,0,0.0,890131,890131
combined,suhi_max,float64,0,0.0,890131,890131
combined,reference_lst_mean,float64,0,0.0,890131,890131
combined,ndvi_mean,float64,25403,2.8538496019125277,864728,890131
combined,ndvi_max,float64,7664,0.8609968645064603,882467,890131
combined,ndbi_mean,float64,0,0.0,890131,890131
combined,mndwi_mean,float64,0,0.0,890131,890131
combined,ndmi_mean,float64,0,0.0,890131,890131
combined,evi_mean,float64,0,0.0,890131,890131
combined,savi_mean,float64,0,0.0,890131,890131
combined,bsi_mean,float64,0,0.0,890131,890131
combined,albedo_mean,float64,0,0.0,890131,890131
combined,fvc_mean,float64,0,0.0,890131,890131
combined,impervious_pct,float64,0,0.0,890131,890131
combined,modis_lst_day_mean,float64,954,0.10717523600458809,889177,890131
combined,modis_lst_night_mean,float64,21556,2.4216660244390993,868575,890131
combined,modis_lst_diurnal_range,float64,14645,1.645263449986575,875486,890131
combined,emissivity_mean,float64,0,0.0,890131,890131
combined,lc_trees_pct,float64,0,0.0,890131,890131
combined,lc_cropland_pct,float64,0,0.0,890131,890131
combined,lc_water_pct,float64,0,0.0,890131,890131
combined,building_area_ratio,float64,0,0.0,890131,890131
combined,building_density_km2,float64,0,0.0,890131,890131
combined,mean_building_size_m2,float64,0,0.0,890131,890131
combined,water_occurrence_pct,float64,0,0.0,890131,890131
combined,dist_to_perm_water_m,float64,0,0.0,890131,890131
combined,dist_to_any_water_m,float64,0,0.0,890131,890131
combined,elevation_m_mean,float64,0,0.0,890131,890131
combined,slope_deg_mean,float64,0,0.0,890131,890131
combined,tpi_mean,float64,0,0.0,890131,890131
combined,population_density,float64,0,0.0,890131,890131
combined,ntl_avg_radiance_mean,float64,0,0.0,890131,890131
combined,wind_speed_ms,float64,0,0.0,890131,890131
combined,relative_humidity_pct,float64,0,0.0,890131,890131
combined,solar_radiation,float64,0,0.0,890131,890131
combined,chirps_precip_mm,float64,0,0.0,890131,890131
combined,sar_vv_mean,float64,0,0.0,890131,890131
combined,sar_vh_mean,float64,0,0.0,890131,890131
combined,dist_to_city_centre_m,float64,0,0.0,890131,890131
combined,is_water,int64,0,0.0,890131,890131
combined,sin_season,float64,0,0.0,890131,890131
combined,cos_season,float64,0,0.0,890131,890131
combined,lst_c_mean_lag1,float64,31823,3.57509175615724,858308,890131
combined,lst_c_mean_lag4,float64,92120,10.349038512308862,798011,890131
combined,ndvi_mean_lag1,float64,56250,6.319294575742222,833881,890131
combined,ndvi_mean_lag4,float64,115574,12.98393157861034,774557,890131
combined,impervious_pct_lag1,float64,31823,3.57509175615724,858308,890131
combined,impervious_pct_lag4,float64,92120,10.349038512308862,798011,890131
combined,ndvi_mean_spatial_lag,float64,2866,0.3219750800724837,887265,890131
combined,impervious_pct_spatial_lag,float64,13,0.0014604591908382026,890118,890131
combined,building_area_ratio_spatial_lag,float64,13,0.0014604591908382026,890118,890131
combined,elevation_m_mean_spatial_lag,float64,13,0.0014604591908382026,890118,890131
combined,split,str,0,0.0,890131,890131
