grid_id,year,longitude,latitude,frac_built,frac_vegetation,frac_cropland,frac_water,frac_wetland,frac_bare,dominant_class,oh_built,oh_vegetation,oh_cropland,oh_water,oh_wetland,oh_bare,mixed_flag,valid_obs_ratio,a_valid,source_file,dominant_class_recomputed,mixed_flag_recomputed
Y2018_LAT23.52482_LON90.15502,2018,90.15502415698468,23.52482469062061,0.0,0.0,0.0,0.93174075064572,0.0,0.0682592493542799,4,0,0,0,1,0,0,0,0.0877875596923828,87787.55969238281,dhaka_lulc6_1km_features_table_2018.csv,4.0,0
Y2018_LAT23.525_LON90.16481,2018,90.164808211945,23.52500333582075,0.0,0.4589780177958768,0.05157811920312661,0.3455925435983321,0.0,0.14385131940266452,2,0,1,0,0,0,0,1,0.4589164562301636,458916.4562301636,dhaka_lulc6_1km_features_table_2018.csv,2.0,1
Y2018_LAT23.52518_LON90.17459,2018,90.17459236327528,23.5251813673849,0.32676825438495455,0.30513401553235747,0.31578907020385844,0.024862775150753202,0.0,0.027445884728076405,1,1,0,0,0,0,0,1,0.3093108053283691,309310.80532836914,dhaka_lulc6_1km_features_table_2018.csv,1.0,1
Y2018_LAT23.53385_LON90.15483,2018,90.15483003468516,23.533846342091746,0.0,0.0,0.0,0.751750248141136,0.0,0.248249751858864,4,0,0,0,1,0,0,0,0.6275947598495484,627594.7598495483,dhaka_lulc6_1km_features_table_2018.csv,4.0,0
Y2018_LAT23.53403_LON90.16461,2018,90.16461475513424,23.53402506394596,0.16610064911096453,0.21970024282522005,0.20450075954232205,0.13799967081627904,0.0,0.27169867770521444,6,0,0,0,0,0,1,1,0.9987303644256592,998730.3644256592,dhaka_lulc6_1km_features_table_2018.csv,6.0,1
Y2018_LAT23.5342_LON90.1744,2018,90.17439957193228,23.534203171844304,0.4966924631486449,0.22381470364603345,0.26328556480043425,0.008710068242578303,0.0,0.0074972001623092015,1,1,0,0,0,0,0,1,0.9058607890701292,905860.7890701294,dhaka_lulc6_1km_features_table_2018.csv,1.0,1
Y2018_LAT23.53438_LON90.18418,2018,90.18418448473496,23.53438066576062,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.0165792948913574,16579.294891357422,dhaka_lulc6_1km_features_table_2018.csv,1.0,0
Y2018_LAT23.54269_LON90.14485,2018,90.14485052638558,23.542688569006817,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.2157204977340698,215720.49773406985,dhaka_lulc6_1km_features_table_2018.csv,4.0,0
Y2018_LAT23.54287_LON90.15464,2018,90.15463581577698,23.54286798159732,0.031115369092034002,0.058533897803272505,0.0,0.7340305513764307,0.0,0.17632018172826283,4,0,0,0,1,0,0,0,0.972549864227295,972549.8642272948,dhaka_lulc6_1km_features_table_2018.csv,4.0,0
Y2018_LAT23.54305_LON90.16442,2018,90.16442120199687,23.543046780077745,0.4029004515712247,0.4630999524420443,0.025400151521788306,0.07499965548586471,0.0,0.03359978897907791,2,0,1,0,0,0,0,1,0.9987303672103882,998730.3672103882,dhaka_lulc6_1km_features_table_2018.csv,2.0,1
Y2018_LAT23.54322_LON90.17421,2018,90.17420668451804,23.54322496427895,0.5054988562108738,0.0893998970960121,0.4051012466931141,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.9987446240844726,998744.6240844728,dhaka_lulc6_1km_features_table_2018.csv,1.0,0
Y2018_LAT23.5434_LON90.18399,2018,90.18399226315104,23.54340253430333,0.4938737143202393,0.1008483876668212,0.4052778980129394,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.2119354489135742,211935.44891357425,dhaka_lulc6_1km_features_table_2018.csv,1.0,1
Y2018_LAT23.55153_LON90.13487,2018,90.1348696862356,23.551530015836853,0.0,0.856966779409496,0.1307027664663893,0.0123304541241147,0.0,0.0,2,0,1,0,0,0,0,0,0.0809940081329345,80994.00813293457,dhaka_lulc6_1km_features_table_2018.csv,2.0,0
Y2018_LAT23.55171_LON90.14466,2018,90.14465554458268,23.551710119708087,0.0015498826279628003,0.05590573113735701,0.006974379710981401,0.9350164843895209,0.0,0.0005535221341779001,4,0,0,0,1,0,0,0,0.9021277667770384,902127.7667770386,dhaka_lulc6_1km_features_table_2018.csv,4.0,0
Y2018_LAT23.55189_LON90.15444,2018,90.15444150021044,23.551889609170125,0.2887001799850292,0.3029005694275719,0.10740050833071,0.3009987422566889,0.0,0.0,2,0,1,0,0,0,0,1,0.9987160634460448,998716.0634460448,dhaka_lulc6_1km_features_table_2018.csv,2.0,1
Y2018_LAT23.55207_LON90.16423,2018,90.16422755244804,23.55206848421337,0.1774999320106941,0.5254998026110529,0.2957002724684133,0.0012999929098396,0.0,0.0,2,0,1,0,0,0,0,0,0.9987303698120116,998730.3698120116,dhaka_lulc6_1km_features_table_2018.csv,2.0,0
Y2018_LAT23.55225_LON90.17401,2018,90.1740137011059,23.5522467448554,0.6417728113968969,0.12842056658737142,0.22515284916509543,0.004653772850636301,0.0,0.0,1,1,0,0,0,0,0,0,0.9013664519577026,901366.4519577026,dhaka_lulc6_1km_features_table_2018.csv,1.0,0
