grid_id,year,longitude,latitude,frac_built,frac_vegetation,frac_cropland,frac_water,frac_wetland,frac_bare,dominant_class,oh_built,oh_vegetation,oh_cropland,oh_water,oh_wetland,oh_bare,mixed_flag,valid_obs_ratio,a_valid,source_file,dominant_class_recomputed,mixed_flag_recomputed,lst_c,scene_count,lst_c_median,lst_c_stddev,lst_c_min,lst_c_max,ndvi,mean_pixel_obs_count,valid_lst_ratio,_merge
Y2018_LAT23.52482_LON90.15502,2018,90.15502415698468,23.52482469062061,0.0,0.0,0.0,0.93174075064572,0.0,0.0682592493542799,4,0,0,0,1,0,0,0,0.0877875596923828,87787.55969238281,dhaka_lulc6_1km_features_table_2018.csv,4.0,0,26.567002512481263,14,26.69064062000001,1.6706056805802671,24.00407690000003,31.181918900000028,-0.031459299887269,2.2623853211009184,0.0854786160876602,both
Y2018_LAT23.525_LON90.16481,2018,90.164808211945,23.52500333582075,0.0,0.4589780177958768,0.0515781192031266,0.3455925435983321,0.0,0.1438513194026645,2,0,1,0,0,0,0,1,0.4589164562301636,458916.4562301636,dhaka_lulc6_1km_features_table_2018.csv,2.0,1,31.10046019851784,14,31.288683848160264,2.3703203607561267,25.95405731,37.27283054000003,0.2783871687352141,2.183096832607446,0.463309321298386,both
Y2018_LAT23.52518_LON90.17459,2018,90.17459236327528,23.5251813673849,0.3267682543849545,0.3051340155323574,0.3157890702038584,0.0248627751507532,0.0,0.0274458847280764,1,1,0,0,0,0,0,1,0.3093108053283691,309310.80532836914,dhaka_lulc6_1km_features_table_2018.csv,1.0,1,32.049883845476835,14,32.16972668000001,0.889320781776847,28.26634783999998,34.34529641000003,0.5580868731422313,3.043053317452537,0.3098907540827002,both
Y2018_LAT23.53385_LON90.15483,2018,90.15483003468516,23.533846342091746,0.0,0.0,0.0,0.751750248141136,0.0,0.248249751858864,4,0,0,0,1,0,0,0,0.6275947598495484,627594.7598495483,dhaka_lulc6_1km_features_table_2018.csv,4.0,0,32.964216262839706,14,33.21022893500001,2.47286112010625,27.39646175000001,39.26895422000001,0.0704806876048549,3.4251581246277345,0.6337949680379062,both
Y2018_LAT23.53403_LON90.16461,2018,90.16461475513424,23.53402506394596,0.1661006491109645,0.21970024282522,0.204500759542322,0.137999670816279,0.0,0.2716986777052144,6,0,0,0,0,0,1,1,0.9987303644256592,998730.3644256592,dhaka_lulc6_1km_features_table_2018.csv,6.0,1,32.61913120847615,14,32.472354966406265,1.4494356317026382,28.71239945000002,37.17712598000003,0.3863819759833646,2.831201558595561,1.0,both
Y2018_LAT23.5342_LON90.1744,2018,90.17439957193228,23.534203171844304,0.4966924631486449,0.2238147036460334,0.2632855648004342,0.0087100682425783,0.0,0.0074972001623092,1,1,0,0,0,0,0,1,0.9058607890701292,905860.7890701294,dhaka_lulc6_1km_features_table_2018.csv,1.0,1,31.898979105531637,14,31.893570770000025,0.9648138938860092,29.46094583000001,35.040863479999985,0.5935927947463079,2.8480732007742424,0.9161597489413807,both
Y2018_LAT23.53438_LON90.18418,2018,90.18418448473496,23.53438066576062,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.0165792948913574,16579.294891357422,dhaka_lulc6_1km_features_table_2018.csv,1.0,0,33.54418216987749,14,33.629221220000005,0.34446786072802,32.455131350000016,33.965896189999995,0.5983352112423841,2.0,0.0156330368956697,both
Y2018_LAT23.54269_LON90.14485,2018,90.14485052638558,23.542688569006817,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.2157204977340698,215720.49773406985,dhaka_lulc6_1km_features_table_2018.csv,4.0,0,27.710357922514003,14,27.461168404482777,0.6342548503901285,27.220433720000017,29.406257510000017,-0.1040926337569245,1.90248896497323,0.2145434250324068,both
Y2018_LAT23.54287_LON90.15464,2018,90.15463581577698,23.54286798159732,0.031115369092034,0.0585338978032725,0.0,0.7340305513764307,0.0,0.1763201817282628,4,0,0,0,1,0,0,0,0.972549864227295,972549.8642272948,dhaka_lulc6_1km_features_table_2018.csv,4.0,0,32.46433997833345,14,33.28131561285716,3.834929805058066,26.817107360000023,40.85833352000003,0.0936080045717512,2.053121935272965,0.9769764157304168,both
Y2018_LAT23.54305_LON90.16442,2018,90.16442120199687,23.543046780077745,0.4029004515712247,0.4630999524420443,0.0254001515217883,0.0749996554858647,0.0,0.0335997889790779,2,0,1,0,0,0,0,1,0.9987303672103882,998730.3672103882,dhaka_lulc6_1km_features_table_2018.csv,2.0,1,32.69330484120848,14,32.547246989000016,1.2117229564642171,29.876235260000044,36.57384545000002,0.54904282243546,3.313401545178289,1.0,both
