paper_id,title,authors,year,document_type,study_location,country,study_objective,bangladesh_relevance,urban_focus,study_area_boundary_source,study_area_size_km2,climate_or_seasonal_context,data_sources,satellite_sensors,acquisition_dates,temporal_coverage,number_of_scenes,path_row,spatial_resolution_m,ancillary_data,meteorological_data_source,ground_station_names,cloud_filtering,atmospheric_correction,radiometric_calibration,geometric_correction,reprojection,resampling,clipping_mask,seasonal_harmonization,cross_sensor_normalization,lst_method,brightness_temperature_method,emissivity_method,emissivity_equation,wavelength_parameter,thermal_constants,ndvi_method,ndvi_equation,ndvi_range,ndbi_method,ndbi_equation,ndbi_range,ndwi_method,ndwi_equation,ndwi_range,mndwi_method,mndwi_equation,mndwi_range,albedo_method,albedo_range,utfvi_method,utfvi_range,other_indices,lulc_source_imagery,lulc_years,lulc_classes,lulc_algorithm,training_sample_source,post_classification_refinement,accuracy_assessment,overall_accuracy,kappa,producer_accuracy,user_accuracy,meteorological_integration,correlation_analysis,regression_model,spatial_statistics,hotspot_analysis,trend_analysis,machine_learning_workflow,feature_selection,explainability_method,performance_metrics,lst_range_c,lst_mean_c,lst_max_c,lst_min_c,correlation_results,regression_coefficients,class_fractions,thresholds,temperature_difference_c,urban_rural_contrast_c,bangladesh_specific_parameters,limitations,validation_dataset,cross_validation,train_test_split,sensitivity_analysis,reproducibility_score,robustness_score,dhaka_suitability_score,bangladesh_suitability_score,validation_strength_score,numerical_extraction_richness_score,thesis_reuse_potential_score,key_findings,thesis_use_notes,evidence_status,source_notes
a_new_approach_for_surface_urban_heat_island_monitoring_based_on_machine_learning_algorithm_and_spatiotemporal_fusion_model,A New Approach for Surface Urban Heat Island Monitoring Based on Machine Learning Algorithm and Spatiotemporal Fusion Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BP1,,Imported from papers/(BP1)A_New_Approach_for_Surface_Urban_Heat_Island_Monitoring_Based_on_Machine_Learning_Algorithm_and_Spatiotemporal_Fusion_Model.pdf
surfaceurbanheatislandintensityinfivemajorcitiesof_bangladeshpatternsdriversandtrends,"Surface urban heat island intensity in five major cities of Bangladesh: Patterns, drivers and trends",Ashraf Dewan; Grigory Kiselev; Dirk Botje; Golam Iftekhar Mahmud; Md. Hanif Bhuian; Quazi K. Hassan,2021,journal article,Dhaka; Chittagong; Khulna; Rajshahi; Sylhet,Bangladesh,"Examine annual and monthly day/night SUHII between 2000 and 2019, determine controlling factors, and assess temporal trends across five major Bangladesh cities.",Direct Bangladesh multi-city SUHII benchmark using 20 years of MODIS.,metropolitan,Planning boundaries from relevant city development authorities,,Annual and monthly day/night SUHII; dry months contrasted with wet months,MOD11A2 v006; MCD12Q1; MOD09A1; MCD19A2; MCD43A3; MOD44B; LandScan; DMSP-OLS; VIIRS,MODIS products plus DMSP-OLS and VIIRS nighttime lights,2000-2019 annual and monthly composites,2000-2019,,,1000,LandScan population; planning boundaries; nighttime lights,,,Clear-sky pixels only; retained MODIS LST error <= 2 K,Product-level MODIS v006 processing,Product-derived,Product-derived,,All datasets harmonized to 1 km nominal resolution,City planning boundaries,Monthly and annual aggregation,DMSP-OLS intercalibration and DMSP/VIIRS cross-calibration,MOD11A2 product-based LST; SUHII as urban-rural difference,Product-derived MODIS LST,Generalized split-window retrieval from MODIS bands 31 and 32,,,MODIS v006 quality filter with LST error <= 2 K,,,,,,,MOD09A1-derived NDWI aggregated monthly and annually,,,,,,White-sky albedo from MCD43A3,,,,EVI; BCI; MSI; VCF; AOD; population; nighttime lights,MCD12Q1,2000-2019,IGBP classes reclassified to urban and non-urban,MODIS IGBP reclassification into urban and non-urban,,Iterative urban-rural delineation with buffering,Product-derived; no separate classification accuracy table,Product-derived; not separately reported,Not reported,,,No station meteorology; AOD used as environmental driver,Pearson correlation between SUHII and candidate drivers,,,Pixel-wise urban-rural mean difference mapping,Mann-Kendall annual and monthly trend tests,,,,"Across-city day-night relationship R2 = 0.50, p = 0.00; Pearson r values by city",Raw LST range not reported; SUHII magnitudes reported instead,,,,Across-city day versus night R2 = 0.50 (p = 0.00); Dhaka daytime population differential r = 0.92,,,,Annual daytime SUHII Dhaka 2.74 C and Chittagong 1.92 C; nighttime Chittagong 1.90 C and Dhaka 1.57 C,SUHII reported as urban-rural contrast,Dry months generally show stronger SUHII than wet months,No in-situ UHI measurements; remotely sensed drivers only; monsoon cloudiness reduces valid pixel counts,None beyond product quality control,,,,4,4,4,5,3,4,5,"Dhaka and Chittagong show the highest annual SUHII; daytime SUHII exceeds nighttime; population, imperviousness, and lack of greenness are major drivers.",BP2; direct Bangladesh comparative benchmark for SUHII design and driver interpretation,Extracted,Imported PDF now partially extracted from local PDF text.
machinelearningassisted_characterization_of_regional_heat_islands_with_a_spatial_extent_larger_than_the_urban_size,MachineLearningAssisted Characterization of Regional Heat Islands with a Spatial Extent Larger than the Urban Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP1,,Imported from papers/(FP1)MachineLearningAssisted Characterization of Regional Heat Islands with a Spatial Extent Larger than the Urban Size.pdf
deep_learning_based_prediction_of_urban_hot_spots_using_remote_sensing_data,Deep Learning-Based Prediction of Urban Hot Spots Using Remote Sensing Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP3,,Imported from papers/(FP3)Deep Learning–Based Prediction of Urban Hot Spots Using Remote Sensing Data.pdf
a_review_on_machine_learning_approaches_for_assessing_urban_heat_islands,A Review on Machine Learning Approaches for Assessing Urban Heat Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP4,,Imported from papers/(FP4)A Review on Machine Learning Approaches for Assessing Urban Heat Islands.pdf
exploring_the_landuse_urban_heat_island_nexus_under_climate_change_conditions_using_machine_learning_approach_a_spatio_temporal_analysis_of_remotely_sensed_data,Exploring the landuse urban heat island nexus under climate change conditions using machine learning approach A spatio-temporal analysis of remotely sensed data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MP1,,Imported from papers/(MP1)Exploring the landuse urban heat island nexus under climate change conditions using machine learning approach A spatio-temporal analysis of remotely sensed data.pdf
a_machine_learningbased_forecasting_approaches_andcorrelation_analysis_to_assess_future_extreme_heatscenarios_in_bangladesh_and_its_impact_on_public_health,A Machine LearningBased Forecasting Approaches andCorrelation Analysis to Assess Future Extreme HeatScenarios in Bangladesh and Its Impact on Public Health,,,,,Bangladesh,,Bangladesh-linked by filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MP2,,Imported from papers/(MP2)A Machine LearningBased Forecasting Approaches andCorrelation Analysis to Assess Future Extreme HeatScenarios in Bangladesh and Its Impact on Public Health.pdf
a_machine_learning_approach_to_predict_the_heatwave_in_bangladesh_region_due_to_global_warming,A machine learning approach to predict the heatwave in Bangladesh region due to global warming,,,,,Bangladesh,,Bangladesh-linked by filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MP3,,Imported from papers/(MP3) A machine learning approach to predict the heatwave in Bangladesh region due to global warming.pdf
harnessing_machine_learning_algorithms_to_model_the_association_between_land_useland_cover_change_and_heatwave_dynamics_for_enhanced_environmental_management,Harnessing Machine Learning Algorithms to Model the Association between Land UseLand Cover Change and Heatwave Dynamics for Enhanced Environmental Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MP6,,Imported from papers/(MP6)Harnessing Machine Learning Algorithms to Model the Association between Land UseLand Cover Change and Heatwave Dynamics for Enhanced Environmental Management.pdf
prospective_mitigation_interventions_of_urban_heat_island_in_a_megacity_a_machine_learning_approach_to_inform_climate_resilience_in_dhaka_bangladesh,"Prospective Mitigation Interventions of Urban Heat Island in a Megacity: A Machine Learning Approach To Inform Climate Resilience in Dhaka, Bangladesh",A. S. M. Maksud Kamal; Shamsuddin Shahid; Anika Tabassum; Jakir Hossain,2025,journal article,Dhaka Metropolitan Area / Greater Dhaka City,Bangladesh,Analyze spatiotemporal UHI dynamics in Dhaka from 1990 to 2023 and evaluate mitigation strategies using Landsat-derived indices and machine learning.,"Direct Dhaka-focused multi-year LST, index, and machine-learning mitigation study.",metropolitan,"District, upazila, and study area shapefiles; DIVA-GIS mentioned",,Multi-year benchmark years from 1990 to 2023,Google Earth Engine Landsat archive; Google Earth Pro; study area shapefiles; climate records,Landsat 5 TM; Landsat 7 ETM+; Landsat 8 OLI/TIRS,"1990, 1993, 1996, 1999, 2002, 2005, 2008, 2011, 2014, 2017, 2020, 2023",1990-2023,12 benchmark years,,30,Google Earth Pro imagery; study area shapefiles; climate records,Climate records,,Not fully detailed in first extraction pass,Handled through GEE and Landsat processing chain; exact version not extracted in first pass,Embedded in Landsat thermal workflow,Landsat product-level geometry,,,Greater Dhaka study area,Benchmark-year temporal comparison,"Multi-sensor TM, ETM+, and OLI/TIRS workflow",Statistical mono-window algorithm,Embedded in SMW workflow,Surface emissivity term within SMW linearized radiative transfer equation,,,,Landsat-derived NDVI,,,Landsat-derived NDBI,,,Landsat-derived NDWI,,,,,,Landsat-derived albedo,,,,Urban Index,Landsat series interpreted through indices and maps,1990-2023,"Urbanized, vegetated, water, and related thermal classes interpreted from maps",No standalone supervised classifier reported; index-based thermal interpretation,Field observations used to verify land cover classes and hot/cool spots,,Model metrics plus field verification; no confusion matrix extracted,Not reported,Not reported,,,Climate records mentioned but first-pass extraction did not recover station details,"Correlation matrix for LST versus NDVI, NDWI, NDBI, UI, and Albedo",Linear regression benchmark,,,Multi-year spatiotemporal comparison of LST and indices,Linear Regression; SVM; Random Forest; ANN,Not reported separately,,RMSE; PBIAS; rSD; R2; KGE,Approximately 19 C to 35 C for the 2023 reference Landsat 8 map,,35,19,"LST inversely related to NDVI, NDWI, and Albedo; directly related to UI and NDBI",,,,10 percent NDBI reduction may reduce LST by up to 2 C; 10 percent UI reduction about 0.5 C; 25 percent NDVI increase may reduce ambient temperature by 2-3 C,,"20 percent increase in NDVI and NDWI can reduce LST by about 12 percent and 7 percent, respectively",Data and model uncertainties acknowledged; no full in-situ LST validation extracted in first pass,"10,000 randomly selected metropolitan map spots",10-fold cross-validation,,Sobol variance-based sensitivity analysis with +/- 25 percent test range,4,4,5,5,4,4,5,"SVM is the strongest LST predictor in Dhaka; NDVI, NDWI, and Albedo cool while UI and NDBI warm; mitigation scenarios suggest meaningful temperature reduction from greening and reduced imperviousness.",P1; direct Dhaka multi-year Landsat plus ML mitigation benchmark,Extracted,Imported PDF now partially extracted from local PDF text.
