description,task_id,state,creation_timestamp_ms,update_timestamp_ms,error_message
dhaka_urban_heat_grid_2024_pre_monsoon_1000m,AM56XFRT6ZBNJKSVNCHYGJ2Z,READY,1779055503603,1779055503603,
dhaka_urban_heat_validation_2024_pre_monsoon_1000m,OQJTJZRGXUTW5FN4U64MH7TY,READY,1779055504691,1779055504691,
dhaka_urban_heat_grid_2024_2024_pre_monsoon_1000m,EJ654SW6P4XPSCX3W7S4JVK7,READY,1779055506510,1779055506510,
dhaka_urban_heat_validation_2024_2024_pre_monsoon_1000m,P6TNQS6KLGDBZELU73H5KLMQ,READY,1779055508258,1779055508258,
dhaka_urban_heat_grid_2017_pre_monsoon_1000m,VS5QTGVCNP22EEYCMJFD5JU4,READY,1779055530216,1779055530216,
dhaka_urban_heat_validation_2017_pre_monsoon_1000m,KRSNXWOGHBJYZNTBP5ICRLYQ,READY,1779055531232,1779055531232,
dhaka_urban_heat_grid_2018_pre_monsoon_1000m,GT6JWO7IJQ6EYSFBTL7LOTEF,READY,1779055533095,1779055533095,
dhaka_urban_heat_validation_2018_pre_monsoon_1000m,Y6H355Y2TAUCZW2IHJE7HBGN,READY,1779055535002,1779055535002,
dhaka_urban_heat_grid_2019_pre_monsoon_1000m,O2BRAL5F7F52EGCEQ3WEZEUS,READY,1779055537708,1779055537708,
dhaka_urban_heat_validation_2019_pre_monsoon_1000m,FRYQOFX455VVUFWBEGYMOG6U,READY,1779055539512,1779055539512,
dhaka_urban_heat_grid_2020_pre_monsoon_1000m,KIPG7WM7CBH4EGJTCZL4A3IR,READY,1779055541395,1779055541395,
dhaka_urban_heat_validation_2020_pre_monsoon_1000m,GIAOSKIQ5IVKQJICL56A4PEH,READY,1779055544634,1779055544634,
dhaka_urban_heat_grid_2021_pre_monsoon_1000m,ZMTENSQ7VDIHKBS3KUXNIKWI,READY,1779055546547,1779055546547,
dhaka_urban_heat_validation_2021_pre_monsoon_1000m,CWLNHYIEEUP72SDK2KQE5N55,READY,1779055548427,1779055548427,
dhaka_urban_heat_grid_2022_pre_monsoon_1000m,2TWDDIP5SFXIBF2GBI2ATCRW,READY,1779055550125,1779055550125,
dhaka_urban_heat_validation_2022_pre_monsoon_1000m,6ZBPFKYNY3FCJTSFX4TFBX4U,READY,1779055551922,1779055551922,
dhaka_urban_heat_grid_2023_pre_monsoon_1000m,IEXRYCIYPON2B7VH6YX2WL44,READY,1779055553779,1779055553779,
dhaka_urban_heat_validation_2023_pre_monsoon_1000m,HYLTG26FQV77UJVUPDG7VDRX,READY,1779055555695,1779055555695,
dhaka_urban_heat_grid_2024_pre_monsoon_1000m,M7MILAPGFEZNK45SQ2UVZHDF,READY,1779055557581,1779055557581,
dhaka_urban_heat_validation_2024_pre_monsoon_1000m,TPLXORXK6UJZBXZS2FM5BYRN,READY,1779055558673,1779055558673,
dhaka_urban_heat_grid_2017_2024_pre_monsoon_1000m,LRHQE64FITDJTBTM2MGQRGMN,READY,1779055561987,1779055561987,
dhaka_urban_heat_validation_2017_2024_pre_monsoon_1000m,EZ42SFLMF6RK2DKC7UXCGNUZ,READY,1779055565876,1779055565876,
dhaka_urban_heat_grid_2017_monsoon_1000m,F4J6SMXV2F4NDJVLL4ZT4RXN,READY,1779055578590,1779055578590,
dhaka_urban_heat_validation_2017_monsoon_1000m,GPCFCXIDWFXFQ3SZD7QSVXNY,READY,1779055580422,1779055580422,
dhaka_urban_heat_grid_2018_monsoon_1000m,V2CRJMHYPUWVW2MMTKKEPHRF,READY,1779055582267,1779055582267,
dhaka_urban_heat_validation_2018_monsoon_1000m,JMCWMVM37K6WS64TKIXJVPOS,READY,1779055584166,1779055584166,
