description,task_id,state,error_message
dhaka_urban_heat_grid_2017_pre_monsoon_1000m,LHDE6AAPTBP3PTTUK3HM5TED,READY,
dhaka_urban_heat_validation_2017_pre_monsoon_1000m,S2YJAFK3BVJDXVMFRPRVSLGE,READY,
dhaka_urban_heat_grid_2018_pre_monsoon_1000m,R7FGT5OYFYX6WFPAS6YAYBQ2,READY,
dhaka_urban_heat_validation_2018_pre_monsoon_1000m,7TBXMQ7APEQGXRD2K72ZLULN,READY,
dhaka_urban_heat_grid_2019_pre_monsoon_1000m,RWPKYKABJ4AA4E6R6HMNUDS7,READY,
dhaka_urban_heat_validation_2019_pre_monsoon_1000m,HG5DIQCF2ZKHG3UFFVLAD453,READY,
dhaka_urban_heat_grid_2020_pre_monsoon_1000m,S2JPFKLSCFN26DGQUYUDHKJJ,READY,
dhaka_urban_heat_validation_2020_pre_monsoon_1000m,7KGDJHIXWJNQ7VYH2KQILV2N,READY,
dhaka_urban_heat_grid_2021_pre_monsoon_1000m,HYMTV5E4DIM4DLNGGENQ2L5K,READY,
dhaka_urban_heat_validation_2021_pre_monsoon_1000m,LCZVWXXO76EFGVHLLCX5GBON,READY,
dhaka_urban_heat_grid_2022_pre_monsoon_1000m,QPDSVN7C2RDPM4YDIC56PQGA,READY,
dhaka_urban_heat_validation_2022_pre_monsoon_1000m,CNV43KZUFAFYY67HSMO32JXH,READY,
dhaka_urban_heat_grid_2023_pre_monsoon_1000m,I26JKWHOUZSFOLM465USNUCL,READY,
dhaka_urban_heat_validation_2023_pre_monsoon_1000m,XXKWIZRGSNDU42GSJHTRGCMN,READY,
dhaka_urban_heat_grid_2024_pre_monsoon_1000m,5W6SS24NLFMHW6KLWRXJYBZ7,READY,
dhaka_urban_heat_validation_2024_pre_monsoon_1000m,XSGST5EVDYDG2ZYLMKTWLSDM,READY,
dhaka_urban_heat_grid_2017_2024_pre_monsoon_1000m,K63U4J35FW3ELH2NTJN65LLV,READY,
dhaka_urban_heat_validation_2017_2024_pre_monsoon_1000m,GMINDAGAXEPJD4WJTUUQOKR7,READY,
dhaka_urban_heat_grid_2017_monsoon_1000m,L7YEB5TPTMRN7B4256R5YNJX,READY,
dhaka_urban_heat_validation_2017_monsoon_1000m,TNATCGPHMIKNWXL6XZNX5AAL,READY,
dhaka_urban_heat_grid_2018_monsoon_1000m,27Z24ZS2DLEIXNPTD6PJ5G5Z,READY,
dhaka_urban_heat_validation_2018_monsoon_1000m,AS3N3I74LUSGLKQDS4UWXG43,READY,
dhaka_urban_heat_grid_2019_monsoon_1000m,H5B2EDJERUG5ZTDJG4FP4CAF,READY,
dhaka_urban_heat_validation_2019_monsoon_1000m,3BEX5DILV2CDITWHLAAI752E,READY,
dhaka_urban_heat_grid_2020_monsoon_1000m,PS65XQU5U2EPKUPND3QRJ5QE,READY,
dhaka_urban_heat_validation_2020_monsoon_1000m,LLTPVHV5YVQXTDQU5DYF6VHT,READY,
dhaka_urban_heat_grid_2021_monsoon_1000m,BK5VWGNL6JJ7WFU5TZRXVCSG,READY,
dhaka_urban_heat_validation_2021_monsoon_1000m,MYEYHRCR2W45WV72AJX65CSU,READY,
dhaka_urban_heat_grid_2022_monsoon_1000m,5HFBKRXE4LAGMWTKAVQKS35T,READY,
dhaka_urban_heat_validation_2022_monsoon_1000m,DVR55VUWSBDYL6LUMDFHG7WN,READY,
dhaka_urban_heat_grid_2023_monsoon_1000m,6NK5TUZQ4WGP2WOLSM4RRHPK,READY,
dhaka_urban_heat_validation_2023_monsoon_1000m,2U7VLWDM6L6AWNWK4TUSI3CP,READY,
dhaka_urban_heat_grid_2024_monsoon_1000m,I7FBWR2N4AGYL4BSJWAIIL7U,READY,
dhaka_urban_heat_validation_2024_monsoon_1000m,GF6BCTTLSYCJQMQ77UXXRZ6C,READY,
dhaka_urban_heat_grid_2017_2024_monsoon_1000m,ZZJF765PKBRXBQLMCM3U3WCC,READY,
dhaka_urban_heat_validation_2017_2024_monsoon_1000m,7EPAFH5EG2WWKMAYGZ5EX57K,READY,
dhaka_urban_heat_grid_2017_post_monsoon_1000m,MMLO6HNGHV7KBXWKG77TY2DH,READY,
dhaka_urban_heat_validation_2017_post_monsoon_1000m,SF2FCB36JLYDIFLNHYAXFMCN,READY,
dhaka_urban_heat_grid_2018_post_monsoon_1000m,N3QESOJFJLW6FXDDKWWKFBX7,READY,
dhaka_urban_heat_validation_2018_post_monsoon_1000m,NTI5Y6GHEPWERBV2PHXEMRI4,READY,
dhaka_urban_heat_grid_2019_post_monsoon_1000m,BG2AZCEGR3DI35ER2EROAA6F,READY,
dhaka_urban_heat_validation_2019_post_monsoon_1000m,ZBMWOCIVAVWH65HYY62QJ7NK,READY,
dhaka_urban_heat_grid_2020_post_monsoon_1000m,ZPLCY5EIGYP3W7JWPUJTPWP5,READY,
dhaka_urban_heat_validation_2020_post_monsoon_1000m,XIWVWUVRTEOECG2ZPJXJ2YXE,READY,
dhaka_urban_heat_grid_2021_post_monsoon_1000m,AVA6ELFVCJENT4RZ772CJERG,READY,
dhaka_urban_heat_validation_2021_post_monsoon_1000m,X4EBH5L6U2UUZ3IAILWYGOPA,READY,
dhaka_urban_heat_grid_2022_post_monsoon_1000m,ZQBNZGURKJY6VYYCZJO7UK3O,READY,
dhaka_urban_heat_validation_2022_post_monsoon_1000m,HLYG6OKZTMJ64AVGKRMTPCGD,READY,
dhaka_urban_heat_grid_2023_post_monsoon_1000m,GSXCV7ULIKKDMYHTM3WN54WD,READY,
dhaka_urban_heat_validation_2023_post_monsoon_1000m,NNACGIJLC6MXPIEG6CJNYGRI,READY,
dhaka_urban_heat_grid_2024_post_monsoon_1000m,RTV7W4KYBRIQMVUOP347JLNS,READY,
dhaka_urban_heat_validation_2024_post_monsoon_1000m,TPVJE3FG7LL5U4HPZQ6GHUBZ,READY,
dhaka_urban_heat_grid_2017_2024_post_monsoon_1000m,AH3BLYCUYUMWDVONMCSEBTZG,READY,
dhaka_urban_heat_validation_2017_2024_post_monsoon_1000m,GAJNLBGUVFRZWS5SE4MRJCKA,READY,
dhaka_urban_heat_grid_2017_winter_1000m,6MJDRR2O2YAVST3FVOHSKV4N,READY,
dhaka_urban_heat_validation_2017_winter_1000m,UM6Z5FKZJHSLXAMXOV3TFCEV,READY,
dhaka_urban_heat_grid_2018_winter_1000m,X3NRGU364YDZBUL3ZXSN5TFV,READY,
dhaka_urban_heat_validation_2018_winter_1000m,PE44ACDCMZBF7E5ELQ6TLWLA,READY,
dhaka_urban_heat_grid_2019_winter_1000m,KRT3ZGUEBADWC4YTUXRFEN2I,READY,
dhaka_urban_heat_validation_2019_winter_1000m,LBTTMLYRDEH7L4GQWH46GKQZ,READY,
dhaka_urban_heat_grid_2020_winter_1000m,V5JP6FVOO6W775XDTQ5HVQYQ,READY,
dhaka_urban_heat_validation_2020_winter_1000m,RUSEQU6TCM2PGY2VN37KEQL3,READY,
dhaka_urban_heat_grid_2021_winter_1000m,FMORSSEAWVVV3G33RYYLO7UL,READY,
dhaka_urban_heat_validation_2021_winter_1000m,WADHSWJ2UX6X2YDCR3VLMAOF,READY,
dhaka_urban_heat_grid_2022_winter_1000m,4622O3GDF3IDZNYE7N5MH5AO,READY,
dhaka_urban_heat_validation_2022_winter_1000m,GXREOAG4JA2VDSWBZQNF2K6Q,READY,
dhaka_urban_heat_grid_2023_winter_1000m,42YAJCI6PREC5RMMZ5OUBRGB,READY,
dhaka_urban_heat_validation_2023_winter_1000m,J4WA5W6NITS3KAR4DSWLCD5A,READY,
dhaka_urban_heat_grid_2024_winter_1000m,SNFP5OE6BQCQRK6LKSJMK7VB,READY,
dhaka_urban_heat_validation_2024_winter_1000m,2XF32ARRY3BSDBINXC4725DV,READY,
dhaka_urban_heat_grid_2017_2024_winter_1000m,EAFRHHOJ67ZD3UKE37WBSXBM,READY,
dhaka_urban_heat_validation_2017_2024_winter_1000m,J7GYE6NECW2O667U4WC2MVZJ,READY,
