project,export_folder,log_file,description,task_id
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_grid_2017_pre_monsoon_1000m,LHDE6AAPTBP3PTTUK3HM5TED
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_validation_2017_pre_monsoon_1000m,S2YJAFK3BVJDXVMFRPRVSLGE
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_grid_2018_pre_monsoon_1000m,R7FGT5OYFYX6WFPAS6YAYBQ2
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_validation_2018_pre_monsoon_1000m,7TBXMQ7APEQGXRD2K72ZLULN
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_grid_2019_pre_monsoon_1000m,RWPKYKABJ4AA4E6R6HMNUDS7
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_validation_2019_pre_monsoon_1000m,HG5DIQCF2ZKHG3UFFVLAD453
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_grid_2020_pre_monsoon_1000m,S2JPFKLSCFN26DGQUYUDHKJJ
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_validation_2020_pre_monsoon_1000m,7KGDJHIXWJNQ7VYH2KQILV2N
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_grid_2021_pre_monsoon_1000m,HYMTV5E4DIM4DLNGGENQ2L5K
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_validation_2021_pre_monsoon_1000m,LCZVWXXO76EFGVHLLCX5GBON
